,Algorithm,CrossValMeans,CrossValerrors
0,SVC,0.819295712761283,0.011020300303625497
1,DecisionTree,0.7598141987320319,0.019004956622886263
2,AdaBoost,0.7575481765112045,0.021998976221800016
3,RandomForest,0.8159374803841566,0.01990278214066562
4,ExtraTrees,0.7890151277383717,0.021927006324291343
5,GradientBoosting,0.8271420500910175,0.01414471363105282
6,MultipleLayerPerceptron,0.8092147385600402,0.014482594559560103
7,KNeighboors,0.8035904839620864,0.025625687019026896
8,LogisticRegression,0.8158998179649739,0.01750933928467596
9,LinearDiscriminantAnalysis,0.8271169418115623,0.021116100340832087
10,XGB,0.8271608813006088,0.01250040285030457
